"ID","ROUTE","COUNTY","PM","LON","LAT"
143,120,"TUO",11,-120.15385,37.97565
144,49,"TUO",19.5,-120.11756,38.01276
145,108,"TUO",2.3,-120.10666,38.00397
146,49,"TUO",27,-120.14979,38.012
147,49,"TUO",13.9,-120.13048,37.99462
148,108,"TUO",3.3,-120.1017,38.00498
149,108,"TUO",3,-120.1034,38.00488
150,108,"TUO",2.2,-120.10704,38.0039
151,120,"STA",16.6,-120.20256,37.95418
152,120,"TUO",7,-120.16117,37.96377
153,108,"TUO",6.5,-120.08613,38.00803
154,49,"TUO",22.8,-120.13146,38.01137
155,108,"TUO",0.9,-120.11538,38.00131
156,108,"TUO",4,-120.09778,38.00443
157,49,"TUO",27,-120.14979,38.012
158,49,"TUO",20.8,-120.12277,38.01516
159,120,"TUO",12.5,-120.14775,37.97684
160,108,"TUO",0.5,-120.11788,38.00084
161,108,"TUO",2.3,-120.10666,38.00397
162,108,"TUO",2.3,-120.10666,38.00397
163,108,"TUO",2.3,-120.10666,38.00397
164,120,"TUO",8,-120.15612,37.96349
165,108,"TUO",2.1,-120.10743,38.0039
166,108,"TUO",5.1,-120.09261,38.00663
167,49,"TUO",2.5,-120.08117,37.9423
168,49,"TUO",21.6,-120.12718,38.01503
169,49,"TUO",13.7,-120.13127,37.99403
170,49,"TUO",17,-120.12042,38.00309
171,49,"TUO",19.5,-120.11756,38.01276
172,108,"TUO",4.9,-120.09329,38.00606
173,49,"TUO",13.8,-120.13085,37.99431
174,108,"TUO",4.3,-120.09613,38.00473
175,120,"STA",15.9,-120.20538,37.95231
176,49,"TUO",20,-120.11915,38.01456
177,49,"TUO",23,-120.13214,38.01037
178,49,"TUO",26,-120.14544,38.00897
179,49,"TUO",26.7,-120.14832,38.01127
180,108,"TUO",2.5,-120.10573,38.00379
181,49,"TUO",4.9,-120.08836,37.95063
182,49,"TUO",16,-120.12347,38.00016
183,108,"TUO",4,-120.09778,38.00443
184,49,"TUO",20.5,-120.1212,38.01565
185,108,"TUO",3.5,-120.10057,38.00485
186,108,"TUO",3.5,-120.10057,38.00485
187,108,"TUO",17,-120.05108,38.03512
188,49,"TUO",13,-120.13432,37.99224
189,49,"TUO",16,-120.12347,38.00016
190,108,"TUO",5,-120.09291,38.00639
191,108,"TUO",6,-120.08847,38.00687
192,108,"TUO",0,-120.1211,38.00068
193,49,"TUO",15,-120.12817,37.99861
194,108,"TUO",2.4,-120.10622,38.00396
195,108,"TUO",5.7,-120.08974,38.00601
196,108,"TUO",15.2,-120.05761,38.03183
198,120,"STA",12.5,-120.22117,37.94961
199,108,"TUO",15.5,-120.05626,38.03145
200,120,"STA",15,-120.20994,37.95294
201,120,"TUO",21.8,-120.10535,37.95947
202,108,"TUO",5,-120.09291,38.00639
203,49,"TUO",27,-120.14979,38.012
204,108,"TUO",5.5,-120.09075,38.00607
205,49,"TUO",22.2,-120.12953,38.01332
206,49,"TUO",22.2,-120.12953,38.01332
207,120,"STA",17,-120.2007,37.95526
208,108,"TUO",6.1,-120.088,38.0071
209,49,"TUO",19,-120.11698,38.01067
210,108,"TUO",0.2,-120.11981,38.0007
211,108,"TUO",4.6,-120.09451,38.00518
212,49,"TUO",18,-120.11657,38.00646
213,108,"TUO",2.3,-120.10666,38.00397
214,49,"TUO",27,-120.14979,38.012
215,108,"TUO",0.8,-120.11599,38.00114
216,49,"TUO",15,-120.12817,37.99861
217,49,"TUO",19.1,-120.11699,38.01111
218,108,"TUO",0.8,-120.11599,38.00114
219,108,"TUO",2.5,-120.10573,38.00379
220,108,"TUO",5.3,-120.09147,38.00673
221,49,"TUO",14,-120.13017,37.99497
222,49,"TUO",19,-120.11698,38.01067
223,108,"TUO",2,-120.10782,38.00393
224,108,"TUO",5.5,-120.09075,38.00607
225,49,"TUO",19.5,-120.11756,38.01276
226,49,"TUO",23,-120.13214,38.01037
227,120,"TUO",6.5,-120.16343,37.9641
228,49,"TUO",19.6,-120.11781,38.01315
229,108,"TUO",0.5,-120.11788,38.00084
230,108,"TUO",3.5,-120.10057,38.00485
231,108,"TUO",3.5,-120.10057,38.00485
232,108,"TUO",0.5,-120.14701,37.97995
233,108,"TUO",4.5,-120.09505,38.00502
234,108,"TUO",6.5,-120.08613,38.00803
235,49,"TUO",27,-120.14979,38.012
236,49,"TUO",13.5,-120.1321,37.99348
237,49,"TUO",13.8,-120.13085,37.99431
238,49,"TUO",16.5,-120.121,38.00074
239,108,"TUO",0,-120.1211,38.00068
240,108,"TUO",3,-120.1034,38.00488
241,108,"TUO",3.5,-120.10057,38.00485
242,49,"TUO",14.3,-120.12961,37.99617
243,49,"TUO",14.3,-120.12961,37.99617
244,49,"TUO",22,-120.12914,38.01418
245,108,"TUO",0.1,-120.12046,38.00068
246,108,"TUO",4.5,-120.09505,38.00502
247,108,"TUO",5.9,-120.08889,38.00658
248,108,"TUO",6,-120.08847,38.00687
249,120,"TUO",12,-120.14934,37.97826
250,108,"TUO",5.5,-120.09075,38.00607
251,120,"TUO",10,-120.15595,37.97159
252,108,"TUO",1.5,-120.11228,38.0023
253,120,"TUO",1.5,-120.1905,37.96336
254,108,"TUO",5.7,-120.08974,38.00601
255,108,"TUO",4,-120.09778,38.00443
256,108,"TUO",3.2,-120.10226,38.00498
257,49,"TUO",14.5,-120.12959,37.997
258,108,"TUO",4.7,-120.09401,38.00539
259,49,"TUO",20.8,-120.12277,38.01516
260,108,"TUO",2,-120.10782,38.00393
261,49,"TUO",14.5,-120.12959,37.997
262,49,"TUO",20.5,-120.1212,38.01565
263,49,"TUO",12.5,-120.1356,37.99051
264,108,"TUO",5.5,-120.09075,38.00607
265,108,"TUO",6.5,-120.08613,38.00803
266,108,"TUO",1,-120.11483,38.00142
267,49,"TUO",19,-120.11698,38.01067
268,49,"TUO",20,-120.11915,38.01456
269,49,"TUO",15,-120.12817,37.99861
271,88,"AMA",34,-120.16008,38.15417
272,88,"AMA",36.5,-120.15341,38.16333
273,88,"AMA",22,-120.20416,38.13486
274,49,"AMA",0.3,-120.2196,38.10833
275,88,"AMA",15.7,-120.22918,38.12154
276,49,"AMA",5.4,-120.23875,38.12274
277,88,"AMA",22.3,-120.20346,38.13602
278,88,"AMA",18.8,-120.2135,38.1256
279,88,"AMA",20.1,-120.2084,38.12944
280,88,"AMA",24.3,-120.19529,38.13526
281,88,"AMA",32.1,-120.16136,38.14733
282,88,"AMA",22.2,-120.20353,38.13557
283,88,"AMA",27.4,-120.18319,38.13966
284,88,"AMA",18.2,-120.21656,38.12445
285,88,"AMA",27,-120.18452,38.13905
286,88,"AMA",34.4,-120.15976,38.15583
287,88,"AMA",37,-120.15141,38.16483
288,49,"AMA",0.3,-120.2196,38.10833
289,88,"AMA",21.3,-120.20604,38.13217
290,88,"AMA",27,-120.18452,38.13905
291,88,"AMA",34.4,-120.15976,38.15583
292,88,"AMA",37,-120.15141,38.16483
293,88,"AMA",20.9,-120.20507,38.1306
294,88,"AMA",29,-120.17586,38.14272
295,88,"AMA",36.8,-120.15228,38.16429
296,88,"AMA",21,-120.20533,38.131
297,88,"AMA",21.5,-120.2058,38.13304
298,88,"AMA",25.5,-120.18975,38.13416
299,88,"AMA",29,-120.17586,38.14272
300,88,"AMA",32.5,-120.16022,38.14868
301,88,"AMA",32.9,-120.16102,38.15023
302,88,"AMA",28.4,-120.17884,38.14157
303,88,"AMA",32.9,-120.16102,38.15023
304,88,"AMA",32,-120.16179,38.14709
305,88,"AMA",5.5,-120.28515,38.10959
306,88,"AMA",14.8,-120.23294,38.11905
307,88,"AMA",16.5,-120.22499,38.12195
308,88,"AMA",26.5,-120.18661,38.13768
309,88,"AMA",23,-120.20102,38.13781
310,49,"AMA",1.5,-120.22402,38.11113
311,88,"AMA",18,-120.21748,38.12391
312,88,"AMA",21.3,-120.20604,38.13217
313,88,"AMA",22.6,-120.20312,38.13734
314,88,"AMA",28.6,-120.17794,38.14208
315,88,"AMA",18.5,-120.21513,38.12517
316,88,"AMA",19.8,-120.20985,38.12875
317,88,"AMA",38,-120.14757,38.16767
318,88,"AMA",18.7,-120.21403,38.12544
319,88,"AMA",23,-120.20102,38.13781
320,88,"AMA",23.1,-120.20046,38.13774
321,88,"AMA",28.5,-120.17837,38.14181
322,88,"AMA",29.1,-120.17531,38.14282
323,88,"AMA",35,-120.15822,38.1581
324,49,"AMA",0.5,-120.22034,38.10898
325,88,"AMA",28.6,-120.17794,38.14208
326,49,"AMA",0.5,-120.22034,38.10898
327,88,"AMA",20.4,-120.20676,38.12953
328,88,"AMA",31,-120.16564,38.14481
329,88,"AMA",19,-120.21289,38.12636
330,88,"AMA",20,-120.2089,38.12923
331,88,"AMA",21,-120.20533,38.131
332,88,"AMA",25.5,-120.18975,38.13416
333,88,"AMA",35,-120.15822,38.1581
334,88,"AMA",3.5,-120.29506,38.10623
335,88,"AMA",22.3,-120.20346,38.13602
336,88,"AMA",22.3,-120.20346,38.13602
337,88,"AMA",32.3,-120.16075,38.14793
338,88,"AMA",36.2,-120.1544,38.16228
339,88,"AMA",16,-120.22757,38.12191
340,88,"AMA",17.2,-120.22127,38.12236
341,88,"AMA",22.5,-120.20322,38.13689
342,88,"AMA",24.5,-120.1946,38.13476
343,88,"AMA",29.5,-120.1735,38.1433
344,49,"AMA",0.1,-120.2191,38.10754
345,88,"AMA",15.5,-120.23018,38.12117
346,88,"AMA",30,-120.17079,38.14374
347,88,"AMA",20.6,-120.20579,38.12972
348,88,"AMA",26.7,-120.18573,38.13812
349,88,"AMA",16,-120.22757,38.12191
350,88,"AMA",34.5,-120.15963,38.15624
351,88,"AMA",19.1,-120.2125,38.12669
352,88,"AMA",35,-120.15822,38.1581
353,88,"AMA",23.2,-120.19991,38.13763
354,88,"AMA",25.4,-120.19027,38.13395
355,88,"AMA",34.6,-120.15947,38.15666
356,88,"AMA",21.1,-120.20566,38.13136
357,88,"AMA",17.5,-120.21964,38.12257
358,88,"AMA",31,-120.16564,38.14481
359,88,"AMA",18.5,-120.21513,38.12517
360,88,"AMA",33.8,-120.16022,38.15333
361,88,"AMA",35.1,-120.15788,38.15845
362,88,"AMA",17.2,-120.22127,38.12236
363,88,"AMA",18.5,-120.21513,38.12517
364,88,"AMA",32.5,-120.16022,38.14868
365,88,"AMA",35,-120.15822,38.1581
366,88,"AMA",17,-120.22236,38.12221
367,88,"AMA",26.6,-120.18624,38.13795
368,88,"AMA",34.6,-120.15947,38.15666
369,88,"AMA",30,-120.17079,38.14374
370,88,"AMA",26.8,-120.18527,38.13832
371,88,"AMA",20.3,-120.20729,38.12939
372,88,"AMA",31,-120.16564,38.14481
373,88,"AMA",26,-120.18839,38.13609
374,88,"AMA",33,-120.16123,38.15063
375,88,"AMA",35.2,-120.15759,38.15882
376,88,"AMA",33.8,-120.16022,38.15333
377,88,"AMA",22.1,-120.20375,38.13517
378,88,"AMA",28.7,-120.17747,38.14232
379,88,"AMA",30.5,-120.16832,38.14453
380,49,"AMA",1.2,NA,NA
381,88,"AMA",35.2,-120.15759,38.15882
382,88,"AMA",22,-120.20416,38.13486
383,88,"AMA",32.6,-120.16023,38.14911
384,88,"AMA",36.3,-120.15406,38.16262
385,88,"AMA",22,-120.20416,38.13486
386,49,"AMA",19.2,-120.25752,38.16728
387,49,"AMA",21.5,-120.25721,38.17724
388,88,"AMA",17.6,-120.21912,38.12269
389,49,"AMA",1,-120.22187,38.11047
390,88,"AMA",34.8,-120.15883,38.15737
391,49,"AMA",1,-120.22187,38.11047
392,49,"AMA",6.5,-120.24298,38.1253
393,88,"AMA",17.8,-120.21832,38.1233
394,88,"AMA",30.5,-120.16832,38.14453
395,88,"AMA",35.2,-120.15759,38.15882
396,88,"AMA",17.1,-120.2218,38.12225
397,88,"AMA",17.1,-120.2218,38.12225
398,88,"AMA",21.5,-120.2058,38.13304
399,88,"AMA",24.5,-120.1946,38.13476
400,88,"AMA",26,-120.18839,38.13609
401,88,"AMA",22.7,-120.2027,38.13762
402,88,"AMA",32.7,-120.16049,38.1495
403,88,"AMA",33.8,-120.16022,38.15333
404,88,"AMA",2.5,-120.29978,38.10409
405,88,"AMA",20,-120.2089,38.12923
406,88,"AMA",32,-120.16179,38.14709
407,88,"AMA",35.1,-120.15788,38.15845
408,88,"AMA",36,-120.15517,38.16166
409,49,"AMA",11.2,-120.2534,38.13966
410,88,"AMA",26.5,-120.18661,38.13768
411,88,"AMA",34,-120.16008,38.15417
412,88,"AMA",37,-120.15141,38.16483
413,49,"AMA",0.3,-120.2196,38.10833
414,49,"AMA",2.5,-120.22872,38.11303
415,88,"AMA",21.4,-120.20599,38.13262
416,88,"AMA",28.5,-120.17837,38.14181
417,88,"AMA",34.5,-120.15963,38.15624
418,88,"AMA",36.5,-120.15341,38.16333
419,49,"AMA",0.5,-120.22034,38.10898
420,88,"AMA",19.7,-120.21039,38.12861
421,88,"AMA",24.3,-120.19529,38.13526
422,88,"AMA",19.5,-120.21099,38.12795
423,88,"AMA",30.6,-120.16777,38.14452
424,88,"AMA",21.4,-120.20599,38.13262
425,88,"AMA",31.7,-120.16338,38.14674
426,88,"AMA",31.8,-120.16286,38.14674
427,88,"AMA",24.5,-120.1946,38.13476
428,49,"AMA",0.1,-120.2191,38.10754
429,88,"AMA",23.8,-120.19761,38.13624
430,88,"AMA",24,-120.19679,38.13571
431,88,"AMA",20.1,-120.2084,38.12944
432,88,"AMA",26.2,-120.18762,38.13669
433,88,"AMA",33,-120.16123,38.15063
434,88,"AMA",37,-120.15141,38.16483
435,88,"AMA",18.6,-120.2146,38.12536
436,88,"AMA",26.1,-120.18807,38.13644
437,88,"AMA",16.3,-120.22606,38.12172
438,88,"AMA",28.6,-120.17794,38.14208
439,88,"AMA",30,-120.17079,38.14374
440,88,"AMA",22.3,-120.20346,38.13602
441,88,"AMA",24,-120.19679,38.13571
442,88,"AMA",30.3,-120.16942,38.14444
443,88,"AMA",33,-120.16123,38.15063
444,88,"AMA",38.1,-120.14719,38.16798
445,88,"AMA",33.5,-120.16005,38.15206
446,88,"AMA",25,-120.19249,38.13343
447,88,"AMA",34.7,-120.15915,38.15702
448,88,"AMA",32.8,-120.16076,38.14987
449,88,"AMA",33,-120.16123,38.15063
450,49,"AMA",0.4,-120.21999,38.10864
451,88,"AMA",35.5,-120.157,38.16005
452,88,"AMA",17,-120.22236,38.12221
453,88,"AMA",28.5,-120.17837,38.14181
454,88,"AMA",34.8,-120.15883,38.15737
455,88,"AMA",34,-120.16008,38.15417
456,49,"AMA",22,-120.25742,38.17935
457,88,"AMA",25.1,-120.19192,38.13348
458,88,"AMA",32,-120.16179,38.14709
459,88,"AMA",27,-120.18452,38.13905
460,88,"AMA",16.5,-120.22499,38.12195
461,88,"AMA",21,-120.20533,38.131
462,88,"AMA",23,-120.20102,38.13781
463,49,"AMA",0.5,-120.22034,38.10898
464,88,"AMA",24.7,-120.19369,38.13441
465,88,"AMA",21.8,-120.20481,38.13413
466,88,"AMA",31.9,-120.16232,38.14687
467,88,"AMA",25,-120.19249,38.13343
468,88,"AMA",28.4,-120.17884,38.14157
469,88,"AMA",17,-120.22236,38.12221
470,88,"AMA",27.5,-120.18265,38.13978
471,88,"AMA",32.1,-120.16136,38.14733
472,88,"AMA",26.1,-120.18807,38.13644
473,88,"AMA",32.2,-120.16102,38.14764
474,49,"AMA",22,-120.25742,38.17935
475,88,"AMA",5.2,-120.28634,38.10866
476,88,"AMA",33,-120.16123,38.15063
477,16,"AMA",1.5,-120.30322,38.15939
478,88,"AMA",38,-120.14757,38.16767
479,88,"AMA",18.4,-120.21559,38.12491
480,88,"AMA",28,-120.18092,38.14128
481,49,"AMA",0.8,-120.22102,38.11004
